If I had to I'd pee on any one of you,S4 E1: The One With The Jellyfish,Joey
You're wasting all the good pastrami,S7 E3: The One With Phoebe's Cookies,Joey
Joey doesn't share food,S10 E9: The One With The Birthing Mother,Joey
It’s a moo point. It’s like a cow’s opinion – it doesn’t matter,S7 E8: The One Where Chandler Doesn't Like Dogs,Joey
What's not to like? Custard? Good. Jam? Good. Meat? Good,S6 E9: The One Where Ross Got High,Joey
You're so far passed the line that you can't even see the line the line is a dot to you,S4 E7: The One Where Chandler Crosses The Line,Joey
Well the fridge broke so I had to eat everything,S6 E9: The One With Joey's Fridge,Joey
Ross you're mayor of the zone,S1 E7: The One With The Blackout,Joey
Unless you name your first born-child Joey,S9 E14: The One With The Blind Dates,Joey
Is that what a dinosaur would do?,S10 E2: The One Where Ross Is Fine,Joey
Oh sorry I hear divorce and I automatically go to ross,S6 E15: The One That Could Have Been,Joey
Nice try. The Netherlands is this make-believe place where Peter Pan and Tinker Bell come from,S3 E9: The One With The Football,Joey
How You Doin,Several Episodes,Joey
this is a test,,
